ID,x,y,r,brightness,ID
0,208,62,19,369.3557978196234,
1,502,372,19,389.33597621407336,
2,70,382,19,190.9217046580773,
3,434,322,19,256.412289395441,
4,358,828,19,173.85530227948465,
5,862,380,19,157.4826560951437,
6,990,74,20,162.5686448184234,
7,358,156,19,343.4093161546085,
8,414,374,19,174.6878097125867,
9,172,370,19,165.8077304261645,
10,564,64,19,153.0426164519326,
11,1360,102,18,144.97225305216426,
12,184,120,19,145.41129831516352,
13,586,490,19,150.406342913776,
14,186,648,19,189.81169474727454,
15,364,404,19,158.0376610505451,
16,286,410,18,8377.15871254162,E.co
17,196,904,19,236.98711595639247,
18,366,226,19,131.81367690782955,
19,374,84,19,153.45887016848363,
20,496,458,20,276.03188662533216,
21,430,718,19,412.5074331020813,
22,846,306,19,481.1892963330029,
23,708,304,19,153.597621407334,
24,1112,666,19,127.78989098116946,
25,1066,630,20,155.12843224092117,
26,1254,300,20,294.13640389725424,
27,1138,30,20,143.84410983170946,
28,248,838,19,312.0515361744301,
29,292,168,19,190.78295341922697,
30,478,578,20,147.81222320637733,
31,512,212,19,168.9990089197225,
32,1116,232,19,185.78790882061446,
33,128,254,19,9411.91278493558,E.co
34,384,332,19,4546.7393458870165,E.co
35,764,66,19,373.2408325074331,
36,944,740,19,126.54112983151634,P.ae
37,1018,272,20,150.91231178033658,
38,714,84,19,158.87016848364718,
39,354,782,19,182.5966303270565,
40,550,304,19,149.85133795837464,
41,732,340,19,213.53815659068383,
42,1312,762,20,104.90699734278122,P.ae
43,228,118,19,139.30624380574827,
44,386,190,19,144.9950445986125,
45,1252,48,19,7800.872150644202,E.co
46,942,412,19,145.41129831516352,
47,286,484,20,141.98405668733392,
48,368,532,20,190.59344552701506,
49,30,362,19,130.14866204162536,
50,250,698,19,187.0366699702676,
51,338,122,19,8778.652130822597,E.co
52,616,146,19,218.25569871159564,
53,672,808,17,191.9949811794228,
54,60,1012,19,197.85926660059462,
55,324,860,19,216.72943508424183,
56,418,250,19,143.05252725470763,
57,108,728,18,2714.539400665927,E.co
58,1360,236,20,183.27723649247122,
59,218,206,19,189.95044598612486,P.ae
60,292,1002,19,263.9048562933598,
61,590,530,19,206.73934588701684,
62,614,264,19,271.8136769078295,
63,116,516,20,177.94508414526132,
64,356,604,20,169.63684676705049,
65,1346,380,20,260.7794508414526,
66,76,96,19,182.18037661050545,
67,156,150,19,212.70564915758177,
68,406,290,19,130.98116947472744,
69,1116,560,19,310.10901883052526,
70,1170,410,19,276.9474727452924,
71,510,856,20,425.70416297608506,
72,340,324,19,154.70763131813678,
73,390,970,19,192.17046580773044,
74,406,780,19,261.26858275520317,
75,1234,338,19,126.26362735381565,
76,26,268,18,220.02219755826857,
77,76,496,18,243.0188679245283,
78,356,360,18,163.30743618201996,
79,464,884,18,165.79356270810212,
80,580,450,18,250.63263041065483,
81,660,384,18,135.49389567147614,
82,1128,926,17,139.12170639899622,
83,804,104,21,176.86555290373906,
84,30,828,20,153.02037201062888,
85,786,786,20,152.77236492471212,P.ae
86,76,166,19,165.53022794846385,
87,110,364,19,119.32606541129832,
88,450,646,19,155.4013875123885,
89,452,290,19,165.94648166501486,
90,478,730,19,228.38453914767098,
91,684,1006,19,236.43211100099106,
92,694,114,19,178.01783944499505,
93,908,394,19,156.78889990089198,
94,172,606,19,210.62438057482657,P.ae
95,360,946,19,270.70366699702674,
96,212,696,18,215.67147613762486,
97,616,580,17,239.59849435382682,
98,44,900,20,207.08591674047832,
99,592,652,20,221.2223206377325,
100,1220,374,20,357.50221434898145,
101,1336,1016,20,90.27457927369353,
102,1362,30,20,221.84233835252437,
103,146,420,19,124.73736372646184,
104,254,948,19,304.6977205153617,
105,358,16,19,175.24573721163492,
106,730,250,19,160.67393458870166,P.ae
107,806,58,19,9047.41328047572,
108,924,544,19,156.09514370664024,
109,980,916,19,170.10901883052526,P.ae
110,970,188,18,9049.966703662596,E.co
111,196,238,17,165.47051442910913,
112,158,906,20,164.05668733392383,
113,900,160,20,188.3613817537644,
114,1042,314,20,253.71124889282552,
115,1188,274,20,190.22143489813993,
116,1236,188,20,297.60850310008857,
117,1338,158,20,160.70859167404785,
118,214,538,19,300.6739345887017,
119,286,730,19,185.51040634291377,
120,364,998,19,156.9276511397423,
121,870,278,19,207.71060455896927,
122,1108,84,19,951.1397423191279,
123,512,544,19,165.53022794846385,
124,608,220,19,258.63230921704655,
125,116,128,19,160.396432111001,P.ae
126,322,756,19,171.21902874132803,
127,392,610,18,262.2863485016648,
128,424,84,18,248.45726970033297,
129,888,714,18,220.64372918978913,
130,958,340,18,155.69367369589344,
131,1278,440,21,221.527446300716,
132,176,868,20,354.7741364038973,
133,446,532,20,355.5181576616475,
134,796,736,20,199.64570416297607,
135,1306,332,20,367.9185119574845,
136,816,918,19,9769.335976214074,E.co
137,134,596,19,129.17740336967293,
138,450,416,19,243.23092170465807,
139,722,144,19,133.61744301288402,
140,44,320,18,188.01331853496114,
141,294,444,18,315.27192008879024,
142,530,578,18,227.63596004439512,
143,662,658,18,172.47502774694783,
144,842,454,18,296.47058823529414,
145,904,254,18,152.89678135405106,
146,1304,822,20,118.91939769707706,
147,62,594,19,4716.5708622398415,
148,192,156,19,142.77502477700693,
149,664,204,19,154.70763131813678,
150,252,650,18,217.84683684794672,
151,364,454,18,202.46392896781356,
152,366,700,18,168.90122086570477,
153,574,132,18,139.5338512763596,
154,878,434,18,198.11320754716982,
155,56,242,17,173.9021329987453,
156,538,828,20,985.9521700620019,
157,1326,414,20,225.31443755535872,
158,128,832,19,154.70763131813678,
159,192,432,19,171.3577799801784,
160,392,428,19,186.2041625371655,P.ae
161,496,324,18,259.8002219755827,
162,82,420,18,113.58490566037736,
163,188,730,18,151.65371809101,
164,242,878,18,156.62597114317427,
165,380,262,18,191.43174250832408,
166,518,506,18,181.02108768035518,
167,564,1002,18,145.1276359600444,
168,412,644,17,296.8632371392722,
169,956,148,17,267.7038895859473,
170,570,220,16,155.79689703808182,
171,212,856,21,204.59824980111378,
172,554,518,21,157.15194908512333,
173,60,198,20,159.096545615589,P.ae
174,1144,682,20,112.0992028343667,
175,384,572,19,4891.536174430129,
176,436,608,19,154.8463825569871,
177,466,486,19,320.5153617443013,
178,554,710,19,192.86422200198217,
179,1222,150,19,171.6352824578791,
180,94,886,18,146.992230854606,
181,156,32,18,170.92119866814653,
182,164,690,18,144.97225305216426,
183,178,326,18,249.07880133185353,
184,222,452,18,122.90788013318536,
185,238,272,18,149.01220865704772,
186,482,522,18,144.50610432852386,
187,502,952,18,182.41953385127636,
188,634,540,18,150.56603773584905,
189,886,222,18,151.80910099889013,
190,1108,272,18,128.19089900110987,
191,318,822,18,185.68257491675917,
192,344,288,18,356.2930077691454,P.ae
193,636,852,18,163.9289678135405,
194,642,474,20,155.99645704162978,
195,1266,596,20,119.29140832595216,
196,42,698,19,211.87314172447967,
197,100,224,19,283.0525272547076,
198,434,44,19,160.53518334985134,
199,1296,188,19,150.12884043607534,
200,38,170,18,171.8534961154273,
201,142,342,18,151.65371809101,
202,208,592,18,9806.992230854605,E.co
203,364,494,18,147.61376248612652,
204,392,858,18,197.64705882352942,
205,398,476,18,415.338512763596,
206,488,246,18,204.01775804661486,
207,844,58,18,201.842397336293,
208,1144,642,18,175.27192008879024,
